strata,upm,wt,post_class1,post_class2,post_class3,post_class4,post_class5,post_class6,modal_class,max_posterior
103,109,1,1.2667859940215827e-8,1.1125227264018356e-25,0.7185682391163426,0.003001401785095249,0.2784303464307033,1.888695268898828e-35,3,0.7185682391163426
103,52,1,0.9999999517142701,1.2595099202782139e-14,1.3845967822828832e-55,4.0866148371734273e-10,4.78770552790169e-8,5.151699682385554e-94,1,0.9999999517142701
103,107,1,3.321810776180273e-23,1.6244427188895266e-7,0.13914589059318072,0.8325070625093408,4.329152726802864e-10,0.02834688402029049,4,0.8325070625093408
103,113,1,5.618640052210497e-18,4.757290509337198e-5,5.425383301061855e-31,0.9999524270949058,4.540731073075037e-19,1.591616288568071e-16,4,0.9999524270949058
103,127,1,1.2605561916438226e-15,1.4833167580104776e-10,1.136582001961243e-6,0.18234537236392367,0.8176534909057422,7.55799309222597e-38,5,0.8176534909057422
103,52,1,6.335149599838188e-23,1.0565015936007429e-26,0.9881500851058655,0.004687398273441671,0.007162516620693428,5.90139178795609e-33,3,0.9881500851058655
102,61,1,4.322306660815432e-8,1.648600557637161e-33,0.10530090421352435,0.8946990525634038,7.0044062311191984e-15,6.704819971573809e-33,4,0.8946990525634038
103,80,1,0.99999994611589,6.5816695799725354e-15,5.214750064926793e-57,3.602388905052248e-10,5.352386402922155e-8,6.28930671082547e-96,1,0.99999994611589
102,37,1,0.914205345597478,5.07845292938084e-7,5.439960381494435e-20,0.08579414655722599,4.334833981756024e-15,1.8176284418253375e-59,1,0.914205345597478
103,128,1,2.7852694782044233e-9,7.767628341149406e-23,0.9671964465794574,0.022669702406200812,0.010133848229071485,2.5073077180668903e-17,3,0.9671964465794574
102,72,1,6.336415345754081e-9,2.7585931130324957e-10,0.697275878021424,0.3013232296368255,0.0014008857294760238,5.517279623920435e-18,3,0.697275878021424
102,72,1,3.139918088006818e-42,7.009014775678598e-14,5.464452608114094e-44,0.999999999999929,4.498101388533023e-31,7.623712547640564e-18,4,0.999999999999929
102,61,1,9.103395608042601e-38,0.98608943232216,6.976605767880753e-62,2.4841142125311633e-5,3.2227781185334854e-77,0.013885726535713827,2,0.98608943232216
102,61,1,0.04864447301544705,2.158432921819876e-23,1.4606070568794355e-18,0.034461833098593846,0.916893693885958,3.3555886997097895e-61,5,0.916893693885958
103,113,1,2.532341636063315e-8,1.0971087350385237e-31,4.297717118792867e-4,0.9995627068079352,2.4703177724006696e-21,7.49615676788113e-6,4,0.9995627068079352
103,128,1,0.9992348569819186,4.360794436591026e-23,8.05114936710529e-37,1.4199601826503576e-5,7.509434162531112e-4,2.615218294420135e-90,1,0.9992348569819186
103,113,1,2.6568734842644366e-24,0.974271946968268,1.7185647930753273e-46,0.004756617149228888,7.442648038967427e-74,0.020971435882503074,2,0.974271946968268
103,109,1,6.625497020663818e-19,1.6669976489220524e-23,0.577233004861257,0.003921477469568917,0.4188455176691747,8.996392608761206e-20,3,0.577233004861257
103,127,1,4.98626376320718e-4,6.037129934932e-7,0.012964152407969678,0.9805278808057862,0.0060087366969305495,3.585330235957868e-17,4,0.9805278808057862
102,61,1,7.972392316933711e-33,1.4989222375612293e-22,0.3532399956248437,0.20568134153127748,0.4410786628438776,5.443884745362403e-43,5,0.4410786628438776
103,48,1,3.347734296845262e-23,0.9944331986001198,5.760541987088197e-44,0.0013051982988470942,2.105919163763459e-58,0.004261603101033683,2,0.9944331986001198
